timestamp,pattern,sti,lti
2026-01-06 11:53:54.980956,aphid,600.0,600.0
2026-01-06 11:53:54.981146,aphid,600.0,600.0
2026-01-06 11:53:54.981691,aphid,600.0,600.0
2026-01-06 11:53:56.090623,aphid,360.0,600.0
2026-01-06 11:53:56.090648,(derivedfrom aphicide aphid),40.0,0.0
2026-01-06 11:53:56.090659,(derivedfrom aphidian aphid),40.0,0.0
2026-01-06 11:53:56.090663,(derivedfrom aphidicide aphid),40.0,0.0
2026-01-06 11:53:56.090666,(derivedfrom aphidlike aphid),40.0,0.0
2026-01-06 11:53:56.090668,(derivedfrom aphidology aphid),40.0,0.0
2026-01-06 11:53:56.090671,(formof aphids_n aphid),40.0,0.0
2026-01-06 11:53:56.144178,aphid,360.0,600.0
2026-01-06 11:53:56.144197,(derivedfrom aphicide aphid),40.0,0.0
2026-01-06 11:53:56.144206,(derivedfrom aphidian aphid),40.0,0.0
2026-01-06 11:53:56.144208,(derivedfrom aphidicide aphid),40.0,0.0
2026-01-06 11:53:56.144211,(derivedfrom aphidlike aphid),40.0,0.0
2026-01-06 11:53:56.144213,(derivedfrom aphidology aphid),40.0,0.0
2026-01-06 11:53:56.144216,(formof aphids_n aphid),40.0,0.0
2026-01-06 11:53:56.195887,aphid,360.0,600.0
2026-01-06 11:53:56.195905,(derivedfrom aphicide aphid),40.0,0.0
2026-01-06 11:53:56.195914,(derivedfrom aphidian aphid),40.0,0.0
2026-01-06 11:53:56.195916,(derivedfrom aphidicide aphid),40.0,0.0
2026-01-06 11:53:56.195919,(derivedfrom aphidlike aphid),40.0,0.0
2026-01-06 11:53:56.195922,(derivedfrom aphidology aphid),40.0,0.0
2026-01-06 11:53:56.195924,(formof aphids_n aphid),40.0,0.0
2026-01-06 11:53:56.245027,aphid,360.0,600.0
2026-01-06 11:53:56.245044,(derivedfrom aphicide aphid),40.0,0.0
2026-01-06 11:53:56.245051,(derivedfrom aphidian aphid),40.0,0.0
2026-01-06 11:53:56.245054,(derivedfrom aphidicide aphid),40.0,0.0
2026-01-06 11:53:56.245057,(derivedfrom aphidlike aphid),40.0,0.0
2026-01-06 11:53:56.245059,(derivedfrom aphidology aphid),40.0,0.0
2026-01-06 11:53:56.245061,(formof aphids_n aphid),40.0,0.0
2026-01-06 11:53:56.297037,aphid,360.0,600.0
2026-01-06 11:53:56.297054,(derivedfrom aphicide aphid),40.0,0.0
2026-01-06 11:53:56.297061,(derivedfrom aphidian aphid),40.0,0.0
2026-01-06 11:53:56.297063,(derivedfrom aphidicide aphid),40.0,0.0
2026-01-06 11:53:56.297066,(derivedfrom aphidlike aphid),40.0,0.0
2026-01-06 11:53:56.297068,(derivedfrom aphidology aphid),40.0,0.0
2026-01-06 11:53:56.297070,(formof aphids_n aphid),40.0,0.0
2026-01-06 11:53:56.345931,aphid,360.0,600.0
2026-01-06 11:53:56.345948,(derivedfrom aphicide aphid),40.0,0.0
2026-01-06 11:53:56.345955,(derivedfrom aphidian aphid),40.0,0.0
2026-01-06 11:53:56.345957,(derivedfrom aphidicide aphid),40.0,0.0
2026-01-06 11:53:56.345960,(derivedfrom aphidlike aphid),40.0,0.0
2026-01-06 11:53:56.345962,(derivedfrom aphidology aphid),40.0,0.0
2026-01-06 11:53:56.345965,(formof aphids_n aphid),40.0,0.0
2026-01-06 11:53:56.395777,aphid,360.0,600.0
2026-01-06 11:53:56.395793,(derivedfrom aphicide aphid),40.0,0.0
2026-01-06 11:53:56.395800,(derivedfrom aphidian aphid),40.0,0.0
2026-01-06 11:53:56.395802,(derivedfrom aphidicide aphid),40.0,0.0
2026-01-06 11:53:56.395805,(derivedfrom aphidlike aphid),40.0,0.0
2026-01-06 11:53:56.395807,(derivedfrom aphidology aphid),40.0,0.0
2026-01-06 11:53:56.395809,(formof aphids_n aphid),40.0,0.0
2026-01-06 11:53:56.445152,aphid,360.0,600.0
2026-01-06 11:53:56.445169,(derivedfrom aphicide aphid),40.0,0.0
2026-01-06 11:53:56.445177,(derivedfrom aphidian aphid),40.0,0.0
2026-01-06 11:53:56.445180,(derivedfrom aphidicide aphid),40.0,0.0
2026-01-06 11:53:56.445182,(derivedfrom aphidlike aphid),40.0,0.0
2026-01-06 11:53:56.445185,(derivedfrom aphidology aphid),40.0,0.0
2026-01-06 11:53:56.445187,(formof aphids_n aphid),40.0,0.0
2026-01-06 11:53:56.492983,aphid,360.0,600.0
2026-01-06 11:53:56.493000,(derivedfrom aphicide aphid),40.0,0.0
2026-01-06 11:53:56.493007,(derivedfrom aphidian aphid),40.0,0.0
2026-01-06 11:53:56.493010,(derivedfrom aphidicide aphid),40.0,0.0
2026-01-06 11:53:56.493012,(derivedfrom aphidlike aphid),40.0,0.0
2026-01-06 11:53:56.493015,(derivedfrom aphidology aphid),40.0,0.0
2026-01-06 11:53:56.493018,(formof aphids_n aphid),40.0,0.0
2026-01-06 11:53:56.544753,aphid,360.0,600.0
2026-01-06 11:53:56.544770,(derivedfrom aphicide aphid),40.0,0.0
2026-01-06 11:53:56.544778,(derivedfrom aphidian aphid),40.0,0.0
2026-01-06 11:53:56.544781,(derivedfrom aphidicide aphid),40.0,0.0
2026-01-06 11:53:56.544784,(derivedfrom aphidlike aphid),40.0,0.0
2026-01-06 11:53:56.544786,(derivedfrom aphidology aphid),40.0,0.0
2026-01-06 11:53:56.544789,(formof aphids_n aphid),40.0,0.0
2026-01-06 11:53:56.593952,aphid,360.0,600.0
2026-01-06 11:53:56.593974,(derivedfrom aphicide aphid),40.0,0.0
2026-01-06 11:53:56.593981,(derivedfrom aphidian aphid),40.0,0.0
2026-01-06 11:53:56.593984,(derivedfrom aphidicide aphid),40.0,0.0
2026-01-06 11:53:56.593987,(derivedfrom aphidlike aphid),40.0,0.0
2026-01-06 11:53:56.593989,(derivedfrom aphidology aphid),40.0,0.0
2026-01-06 11:53:56.593992,(formof aphids_n aphid),40.0,0.0
2026-01-06 11:53:56.647522,aphid,360.0,600.0
2026-01-06 11:53:56.647540,(derivedfrom aphicide aphid),40.0,0.0
2026-01-06 11:53:56.647548,(derivedfrom aphidian aphid),40.0,0.0
2026-01-06 11:53:56.647551,(derivedfrom aphidicide aphid),40.0,0.0
2026-01-06 11:53:56.647553,(derivedfrom aphidlike aphid),40.0,0.0
2026-01-06 11:53:56.647555,(derivedfrom aphidology aphid),40.0,0.0
2026-01-06 11:53:56.647558,(formof aphids_n aphid),40.0,0.0
2026-01-06 11:53:56.695987,aphid,360.0,600.0
2026-01-06 11:53:56.696005,(derivedfrom aphicide aphid),40.0,0.0
2026-01-06 11:53:56.696012,(derivedfrom aphidian aphid),40.0,0.0
2026-01-06 11:53:56.696015,(derivedfrom aphidicide aphid),40.0,0.0
2026-01-06 11:53:56.696017,(derivedfrom aphidlike aphid),40.0,0.0
2026-01-06 11:53:56.696020,(derivedfrom aphidology aphid),40.0,0.0
2026-01-06 11:53:56.696022,(formof aphids_n aphid),40.0,0.0
2026-01-06 11:53:56.747206,aphid,360.0,600.0
2026-01-06 11:53:56.747232,(derivedfrom aphicide aphid),40.0,0.0
2026-01-06 11:53:56.747245,(derivedfrom aphidian aphid),40.0,0.0
2026-01-06 11:53:56.747251,(derivedfrom aphidicide aphid),40.0,0.0
2026-01-06 11:53:56.747256,(derivedfrom aphidlike aphid),40.0,0.0
2026-01-06 11:53:56.747261,(derivedfrom aphidology aphid),40.0,0.0
2026-01-06 11:53:56.747265,(formof aphids_n aphid),40.0,0.0
2026-01-06 11:53:56.797917,aphid,360.0,600.0
2026-01-06 11:53:56.797934,(derivedfrom aphicide aphid),40.0,0.0
2026-01-06 11:53:56.797942,(derivedfrom aphidian aphid),40.0,0.0
2026-01-06 11:53:56.797945,(derivedfrom aphidicide aphid),40.0,0.0
2026-01-06 11:53:56.797947,(derivedfrom aphidlike aphid),40.0,0.0
2026-01-06 11:53:56.797950,(derivedfrom aphidology aphid),40.0,0.0
2026-01-06 11:53:56.797952,(formof aphids_n aphid),40.0,0.0
2026-01-06 11:53:57.585170,aphid,360.0,600.0
2026-01-06 11:53:57.585190,(derivedfrom aphicide aphid),40.0,0.0
2026-01-06 11:53:57.585199,(derivedfrom aphidian aphid),40.0,0.0
2026-01-06 11:53:57.585201,(derivedfrom aphidicide aphid),40.0,0.0
2026-01-06 11:53:57.585204,(derivedfrom aphidlike aphid),40.0,0.0
2026-01-06 11:53:57.585207,(derivedfrom aphidology aphid),40.0,0.0
2026-01-06 11:53:57.585210,(formof aphids_n aphid),40.0,0.0
2026-01-06 11:53:57.683859,aphid,360.0,600.0
2026-01-06 11:53:57.683884,(derivedfrom aphicide aphid),40.0,0.0
2026-01-06 11:53:57.683896,(derivedfrom aphidian aphid),40.0,0.0
2026-01-06 11:53:57.683901,(derivedfrom aphidicide aphid),40.0,0.0
2026-01-06 11:53:57.683905,(derivedfrom aphidlike aphid),40.0,0.0
2026-01-06 11:53:57.683909,(derivedfrom aphidology aphid),40.0,0.0
2026-01-06 11:53:57.683912,(formof aphids_n aphid),40.0,0.0
2026-01-06 11:53:57.683915,beetle,600.0,600.0
2026-01-06 11:53:57.732100,aphid,360.0,600.0
2026-01-06 11:53:57.732122,(derivedfrom aphicide aphid),40.0,0.0
2026-01-06 11:53:57.732131,(derivedfrom aphidian aphid),40.0,0.0
2026-01-06 11:53:57.732134,(derivedfrom aphidicide aphid),40.0,0.0
2026-01-06 11:53:57.732136,(derivedfrom aphidlike aphid),40.0,0.0
2026-01-06 11:53:57.732139,(derivedfrom aphidology aphid),40.0,0.0
2026-01-06 11:53:57.732142,(formof aphids_n aphid),40.0,0.0
2026-01-06 11:53:57.732144,beetle,600.0,600.0
2026-01-06 11:53:57.849858,aphid,360.0,600.0
2026-01-06 11:53:57.849877,(derivedfrom aphicide aphid),40.0,0.0
2026-01-06 11:53:57.849885,(derivedfrom aphidian aphid),40.0,0.0
2026-01-06 11:53:57.849887,(derivedfrom aphidicide aphid),40.0,0.0
2026-01-06 11:53:57.849890,(derivedfrom aphidlike aphid),40.0,0.0
2026-01-06 11:53:57.849892,(derivedfrom aphidology aphid),40.0,0.0
2026-01-06 11:53:57.849894,(formof aphids_n aphid),40.0,0.0
2026-01-06 11:53:57.849897,beetle,600.0,600.0
2026-01-06 11:54:04.621328,(derivedfrom aphicide aphid),48.00906666666667,0.0
2026-01-06 11:54:04.621353,(derivedfrom aphidian aphid),48.00906666666667,0.0
2026-01-06 11:54:04.621380,(derivedfrom aphidicide aphid),48.00800000000001,0.0
2026-01-06 11:54:04.621383,(derivedfrom aphidlike aphid),48.00906666666667,0.0
2026-01-06 11:54:04.621386,(derivedfrom aphidology aphid),48.00906666666667,0.0
2026-01-06 11:54:04.621388,(formof aphids_n aphid),48.00906666666667,0.0
2026-01-06 11:54:04.621391,aphid,263.9733333333333,600.0
2026-01-06 11:54:04.621392,beetle,360.0,600.0
2026-01-06 11:54:04.621394,(derivedfrom beetle bite),16.0,0.0
2026-01-06 11:54:04.621397,(derivedfrom beetlebrain beetle),16.0,0.0
2026-01-06 11:54:04.621400,(derivedfrom beetlehead beetle),16.0,0.0
2026-01-06 11:54:04.621402,(derivedfrom beetlejuice beetle),16.0,0.0
2026-01-06 11:54:04.621406,(derivedfrom beetlelike beetle),16.0,0.0
2026-01-06 11:54:04.621408,(derivedfrom beetleskin beetle),16.0,0.0
2026-01-06 11:54:04.621411,(derivedfrom beetleweed beetle),16.0,0.0
2026-01-06 11:54:04.621413,(derivedfrom beetly beetle),16.0,0.0
2026-01-06 11:54:04.621415,(derivedfrom dorbeetle beetle),16.0,0.0
2026-01-06 11:54:04.621418,(derivedfrom ladybeetle beetle),16.0,0.0
2026-01-06 11:54:04.621421,(etymologicallyrelatedto beetlehead beetle),16.0,0.0
2026-01-06 11:54:04.621423,(formof beetled_v beetle),16.0,0.0
2026-01-06 11:54:07.955931,(derivedfrom aphicide aphid),48.00906666666667,0.0
2026-01-06 11:54:07.955956,(derivedfrom aphidian aphid),48.00906666666667,0.0
2026-01-06 11:54:07.955959,(derivedfrom aphidicide aphid),48.00800000000001,0.0
2026-01-06 11:54:07.955962,(derivedfrom aphidlike aphid),48.00906666666667,0.0
2026-01-06 11:54:07.955964,(derivedfrom aphidology aphid),48.00906666666667,0.0
2026-01-06 11:54:07.955966,(formof aphids_n aphid),48.00906666666667,0.0
2026-01-06 11:54:07.955969,aphid,263.9733333333333,600.0
2026-01-06 11:54:07.955970,beetle,360.0,600.0
2026-01-06 11:54:07.955972,(derivedfrom beetle bite),16.0,0.0
2026-01-06 11:54:07.955974,(derivedfrom beetlebrain beetle),16.0,0.0
2026-01-06 11:54:07.955977,(derivedfrom beetlehead beetle),16.0,0.0
2026-01-06 11:54:07.955979,(derivedfrom beetlejuice beetle),16.0,0.0
2026-01-06 11:54:07.955982,(derivedfrom beetlelike beetle),16.0,0.0
