AFRentFrequency,elapsed_seconds,threshold_seconds,passes_threshold,weight,calculated_sti_rent,sti_rent_collected,ending_sti,ending_FUNDS_STI
1.0,0.02,1.0,False,0.0,1.1,0.0,100.0,900.0
1.0,0.05,1.0,False,0.0,1.1,0.0,100.0,900.0
1.0,0.1,1.0,False,0.0,1.1,0.0,100.0,900.0
1.0,0.11,1.0,False,0.0,1.1,0.0,100.0,900.0
1.0,0.15,1.0,False,0.0,1.1,0.0,100.0,900.0
1.0,0.2,1.0,False,0.0,1.1,0.0,100.0,900.0
1.0,0.25,1.0,False,0.0,1.1,0.0,100.0,900.0
1.0,0.3,1.0,False,0.0,1.1,0.0,100.0,900.0
1.0,0.5,1.0,False,0.0,1.1,0.0,100.0,900.0
1.0,1.0,1.0,True,1.0,1.1,1.1,98.9,901.1
2.0,0.02,0.5,False,0.0,1.1,0.0,100.0,900.0
2.0,0.05,0.5,False,0.0,1.1,0.0,100.0,900.0
2.0,0.1,0.5,False,0.0,1.1,0.0,100.0,900.0
2.0,0.11,0.5,False,0.0,1.1,0.0,100.0,900.0
2.0,0.15,0.5,False,0.0,1.1,0.0,100.0,900.0
2.0,0.2,0.5,False,0.0,1.1,0.0,100.0,900.0
2.0,0.25,0.5,False,0.0,1.1,0.0,100.0,900.0
2.0,0.3,0.5,False,0.0,1.1,0.0,100.0,900.0
2.0,0.5,0.5,True,1.0,1.1,1.1,98.9,901.1
2.0,1.0,0.5,True,2.0,1.1,2.2,97.8,902.2
5.0,0.02,0.2,False,0.0,1.1,0.0,100.0,900.0
5.0,0.05,0.2,False,0.0,1.1,0.0,100.0,900.0
5.0,0.1,0.2,False,0.0,1.1,0.0,100.0,900.0
5.0,0.11,0.2,False,0.0,1.1,0.0,100.0,900.0
5.0,0.15,0.2,False,0.0,1.1,0.0,100.0,900.0
5.0,0.2,0.2,True,1.0,1.1,1.1,98.9,901.1
5.0,0.25,0.2,True,1.25,1.1,1.375,98.625,901.375
5.0,0.3,0.2,True,1.5,1.1,1.6500000000000001,98.35,901.65
5.0,0.5,0.2,True,2.5,1.1,2.75,97.25,902.75
5.0,1.0,0.2,True,5.0,1.1,5.5,94.5,905.5
10.0,0.02,0.1,False,0.0,1.1,0.0,100.0,900.0
10.0,0.05,0.1,False,0.0,1.1,0.0,100.0,900.0
10.0,0.1,0.1,True,1.0,1.1,1.1,98.9,901.1
10.0,0.11,0.1,True,1.1,1.1,1.2100000000000002,98.79,901.21
10.0,0.15,0.1,True,1.5,1.1,1.6500000000000001,98.35,901.65
10.0,0.2,0.1,True,2.0,1.1,2.2,97.8,902.2
10.0,0.25,0.1,True,2.5,1.1,2.75,97.25,902.75
10.0,0.3,0.1,True,3.0,1.1,3.3000000000000003,96.7,903.3
10.0,0.5,0.1,True,5.0,1.1,5.5,94.5,905.5
10.0,1.0,0.1,True,10.0,1.1,11.0,89.0,911.0
20.0,0.02,0.05,False,0.0,1.1,0.0,100.0,900.0
20.0,0.05,0.05,True,1.0,1.1,1.1,98.9,901.1
20.0,0.1,0.05,True,2.0,1.1,2.2,97.8,902.2
20.0,0.11,0.05,True,2.2,1.1,2.4200000000000004,97.58,902.42
20.0,0.15,0.05,True,3.0,1.1,3.3000000000000003,96.7,903.3
20.0,0.2,0.05,True,4.0,1.1,4.4,95.6,904.4
20.0,0.25,0.05,True,5.0,1.1,5.5,94.5,905.5
20.0,0.3,0.05,True,6.0,1.1,6.6000000000000005,93.4,906.6
20.0,0.5,0.05,True,10.0,1.1,11.0,89.0,911.0
20.0,1.0,0.05,True,20.0,1.1,22.0,78.0,922.0
50.0,0.02,0.02,True,1.0,1.1,1.1,98.9,901.1
50.0,0.05,0.02,True,2.5,1.1,2.75,97.25,902.75
50.0,0.1,0.02,True,5.0,1.1,5.5,94.5,905.5
50.0,0.11,0.02,True,5.5,1.1,6.050000000000001,93.95,906.05
50.0,0.15,0.02,True,7.5,1.1,8.25,91.75,908.25
50.0,0.2,0.02,True,10.0,1.1,11.0,89.0,911.0
50.0,0.25,0.02,True,12.5,1.1,13.750000000000002,86.25,913.75
50.0,0.3,0.02,True,15.0,1.1,16.5,83.5,916.5
50.0,0.5,0.02,True,25.0,1.1,27.500000000000004,72.5,927.5
50.0,1.0,0.02,True,50.0,1.1,55.00000000000001,44.99999999999999,955.0
