FUNDS_STI,AFRentFrequency,elapsed_seconds,threshold_seconds,passes_threshold,base_rent_before_timer,timer_weight,sti_rent_collected,ending_atom_sti,ending_FUNDS_STI
500.0,2.0,0.02,0.5,False,1.5,0.0,0.0,100.0,500.0
500.0,2.0,0.05,0.5,False,1.5,0.0,0.0,100.0,500.0
500.0,2.0,0.1,0.5,False,1.5,0.0,0.0,100.0,500.0
500.0,2.0,0.15,0.5,False,1.5,0.0,0.0,100.0,500.0
500.0,2.0,0.25,0.5,False,1.5,0.0,0.0,100.0,500.0
500.0,2.0,0.5,0.5,True,1.5,1.0,1.5,98.5,501.5
500.0,2.0,1.0,0.5,True,1.5,2.0,3.0,97.0,503.0
500.0,5.0,0.02,0.2,False,1.5,0.0,0.0,100.0,500.0
500.0,5.0,0.05,0.2,False,1.5,0.0,0.0,100.0,500.0
500.0,5.0,0.1,0.2,False,1.5,0.0,0.0,100.0,500.0
500.0,5.0,0.15,0.2,False,1.5,0.0,0.0,100.0,500.0
500.0,5.0,0.25,0.2,True,1.5,1.25,1.875,98.125,501.875
500.0,5.0,0.5,0.2,True,1.5,2.5,3.75,96.25,503.75
500.0,5.0,1.0,0.2,True,1.5,5.0,7.5,92.5,507.5
500.0,10.0,0.02,0.1,False,1.5,0.0,0.0,100.0,500.0
500.0,10.0,0.05,0.1,False,1.5,0.0,0.0,100.0,500.0
500.0,10.0,0.1,0.1,True,1.5,1.0,1.5,98.5,501.5
500.0,10.0,0.15,0.1,True,1.5,1.5,2.25,97.75,502.25
500.0,10.0,0.25,0.1,True,1.5,2.5,3.75,96.25,503.75
500.0,10.0,0.5,0.1,True,1.5,5.0,7.5,92.5,507.5
500.0,10.0,1.0,0.1,True,1.5,10.0,15.0,85.0,515.0
500.0,20.0,0.02,0.05,False,1.5,0.0,0.0,100.0,500.0
500.0,20.0,0.05,0.05,True,1.5,1.0,1.5,98.5,501.5
500.0,20.0,0.1,0.05,True,1.5,2.0,3.0,97.0,503.0
500.0,20.0,0.15,0.05,True,1.5,3.0,4.5,95.5,504.5
500.0,20.0,0.25,0.05,True,1.5,5.0,7.5,92.5,507.5
500.0,20.0,0.5,0.05,True,1.5,10.0,15.0,85.0,515.0
500.0,20.0,1.0,0.05,True,1.5,20.0,30.0,70.0,530.0
500.0,50.0,0.02,0.02,True,1.5,1.0,1.5,98.5,501.5
